Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
12,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,11.89471698,0
12,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.187713861,0
12,1,1,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,5.897119045,1
12,1,2,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,10.09476137,1
12,1,3,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,3.025118113,2
12,1,4,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.17343688,0
12,1,5,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,9.488343,1
12,1,6,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.1550138,1
12,1,7,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,5.439084053,1
12,1,8,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,2.773072004,2
12,1,9,Quiet,NA,NO SOUND,NO SOUND,1,3.510569096,0
12,1,10,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,9.705770016,2
12,1,11,Quiet,NA,NO SOUND,NO SOUND,1,3.105974913,0
12,1,12,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,1.43828702,0
12,1,13,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.557034016,1
12,1,14,Quiet,NA,NO SOUND,NO SOUND,1,2.108855009,0
12,1,15,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,2.701586008,3
12,1,16,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,2.686666965,3
12,1,17,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,3.705302,2
12,1,18,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,1.972916126,2
12,1,19,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,4.861519814,3
12,1,20,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,1.336807966,0
